filename       ,  rec_packets,  lost_packets,  lost_rate(%)
af520505_all-stat/0825statistics/----2698860.dump.split71.18386-18391,6,282,97.74696707
af520505_all-stat/0825statistics/----2698860.dump.split103.21417-21421,5,222,97.58241758
af520505_all-stat/0825statistics/----2698860.dump.split108.21636-21672,37,1495,97.55301794
af520505_all-stat/0825statistics/----2698860.dump.split179.25679-25680,2,99,97.53694581
af520505_all-stat/0825statistics/----2698860.dump.split53.17474-17475,2,96,97.46192893
af520505_all-stat/0825statistics/----2698860.dump.split172.25365-25369,5,211,97.4595843
af520505_all-stat/0825statistics/----2698860.dump.split82.19952-19953,2,93,97.38219895
af520505_all-stat/0825statistics/----2698860.dump.split68.18216-18257,42,1561,97.34954786
af520505_all-stat/0825statistics/----2698860.dump.split67.18163-18174,12,441,97.24366042
af520505_all-stat/0825statistics/----2698860.dump.split195.26386-26391,6,229,97.23991507
af520505_all-stat/0825statistics/----2698860.dump.split165.25055-25059,5,189,97.1722365
af520505_all-stat/0825statistics/----2698860.dump.split107.21590-21594,5,188,97.15762274
af520505_all-stat/0825statistics/----2698860.dump.split123.22412-22436,25,871,97.15560513
af520505_all-stat/0825statistics/----2698860.dump.split207.26919-26962,44,1519,97.15382155
af520505_all-stat/0825statistics/----2698860.dump.split75.18569-18581,13,454,97.11229947
af520505_all-stat/0825statistics/----2698860.dump.split120.22259-22264,6,217,97.0917226
af520505_all-stat/0825statistics/----2698860.dump.split66.18097-18121,25,826,97.00528479
af520505_all-stat/0825statistics/----2698860.dump.split58.17708-17722,15,500,96.99321048
af520505_all-stat/0825statistics/----2698860.dump.split139.23247-23250,4,144,96.96969697
af520505_all-stat/0825statistics/----2698860.dump.split146.24131-24139,9,304,96.96969697
af520505_all-stat/0825statistics/----2698860.dump.split184.25893-25897,5,175,96.95290859
af520505_all-stat/0825statistics/----2698860.dump.split62.17904-17912,9,297,96.9004894
af520505_all-stat/0825statistics/----2698860.dump.split173.25411-25412,2,78,96.89440994
af520505_all-stat/0825statistics/----2698860.dump.split73.18477-18485,9,296,96.8903437
af520505_all-stat/0825statistics/----2698860.dump.split69.18299-18301,3,109,96.88888889
af520505_all-stat/0825statistics/----2698860.dump.split230.28207-28209,3,109,96.88888889
af520505_all-stat/0825statistics/----2698860.dump.split112.21847-21876,30,946,96.8766001
af520505_all-stat/0825statistics/----2698860.dump.split109.21714-21718,5,169,96.84813754
af520505_all-stat/0825statistics/----2698860.dump.split151.24377-24380,4,137,96.81978799
af520505_all-stat/0825statistics/----2698860.dump.split117.22100-22132,33,1014,96.80190931
af520505_all-stat/0825statistics/----2698860.dump.split100.21276-21280,5,165,96.77419355
af520505_all-stat/0825statistics/----2698860.dump.split163.24966-24969,4,133,96.72727273
af520505_all-stat/0825statistics/----2698860.dump.split137.23156-23162,7,219,96.68874172
af520505_all-stat/0825statistics/----2698860.dump.split54.17517-17525,9,274,96.64902998
af520505_all-stat/0825statistics/----2698860.dump.split175.25497-25498,2,70,96.55172414
af520505_all-stat/0825statistics/----2698860.dump.split200.26612-26614,3,98,96.55172414
af520505_all-stat/0825statistics/----2698860.dump.split149.24287-24291,5,153,96.52996845
af520505_all-stat/0825statistics/----2698860.dump.split92.20410-20412,3,97,96.51741294
af520505_all-stat/0825statistics/----2698860.dump.split231.28251-28282,32,900,96.51474531
af520505_all-stat/0825statistics/----2698860.dump.split134.23025-23029,5,152,96.50793651
af520505_all-stat/0825statistics/----2698860.dump.split158.24746-24747,2,69,96.5034965
af520505_all-stat/0825statistics/----2698860.dump.split114.21965-21969,5,151,96.485623
af520505_all-stat/0825statistics/----2698860.dump.split101.21322-21332,11,312,96.44513138
af520505_all-stat/0825statistics/----2698860.dump.split224.27853-27857,5,149,96.44012945
af520505_all-stat/0825statistics/----2698860.dump.split60.17808-17816,9,257,96.43527205
af520505_all-stat/0825statistics/----2698860.dump.split148.24227-24245,19,518,96.37209302
af520505_all-stat/0825statistics/----2698860.dump.split145.24081-24089,9,251,96.35316699
af520505_all-stat/0825statistics/----2698860.dump.split76.18623-18639,17,462,96.35036496
af520505_all-stat/0825statistics/----2698860.dump.split59.17764-17766,3,92,96.33507853
af520505_all-stat/0825statistics/----2698860.dump.split202.26698-26701,4,118,96.32653061
af520505_all-stat/0825statistics/----2698860.dump.split122.22365-22370,6,168,96.27507163
af520505_all-stat/0825statistics/----2698860.dump.split115.22011-22014,4,112,96.13733906
af520505_all-stat/0825statistics/----2698860.dump.split150.24333-24335,3,87,96.13259669
af520505_all-stat/0825statistics/----2698860.dump.split106.21547-21548,2,62,96.12403101
af520505_all-stat/0825statistics/----2698860.dump.split221.27685-27718,34,854,96.11705121
af520505_all-stat/0825statistics/----2698860.dump.split56.17613-17620,8,209,96.09195402
af520505_all-stat/0825statistics/----2698860.dump.split229.28124-28165,42,1038,96.06663582
af520505_all-stat/0825statistics/----2698860.dump.split157.24702-24704,3,85,96.04519774
af520505_all-stat/0825statistics/----2698860.dump.split63.17954-17960,7,182,96.04221636
af520505_all-stat/0825statistics/----2698860.dump.split232.28324-28368,45,1097,96.01750547
af520505_all-stat/0825statistics/----2698860.dump.split153.24471-24479,9,228,96
af520505_all-stat/0825statistics/----2698860.dump.split198.26521-26524,4,105,95.89041096
af520505_all-stat/0825statistics/----2698860.dump.split61.17858-17862,5,128,95.88014981
af520505_all-stat/0825statistics/----2698860.dump.split154.24521-24525,5,127,95.8490566
af520505_all-stat/0825statistics/----2698860.dump.split99.21213-21234,22,515,95.81395349
af520505_all-stat/0825statistics/----2698860.dump.split121.22306-22323,18,415,95.73241061
af520505_all-stat/0825statistics/----2698860.dump.split218.27467-27556,90,2013,95.69764678
af520505_all-stat/0825statistics/----2698860.dump.split170.25275-25279,5,122,95.68627451
af520505_all-stat/0825statistics/----2698860.dump.split214.27285-27292,8,188,95.67430025
af520505_all-stat/0825statistics/----2698860.dump.split64.18002-18011,10,230,95.63409563
af520505_all-stat/0825statistics/----2698860.dump.split133.22981-22983,3,76,95.59748428
af520505_all-stat/0825statistics/----2698860.dump.split225.27899-27946,48,1052,95.59291231
af520505_all-stat/0825statistics/----2698860.dump.split80.19867-19868,2,53,95.4954955
af520505_all-stat/0825statistics/----2698860.dump.split152.24422-24429,8,179,95.46666667
af520505_all-stat/0825statistics/----2698860.dump.split209.27053-27061,9,199,95.44364508
af520505_all-stat/0825statistics/----2698860.dump.split228.28079-28082,4,94,95.43147208
af520505_all-stat/0825statistics/----2698860.dump.split72.18433-18435,3,72,95.36423841
af520505_all-stat/0825statistics/----2698860.dump.split208.27004-27011,8,173,95.31680441
af520505_all-stat/0825statistics/----2698860.dump.split83.19995-20002,8,172,95.29085873
af520505_all-stat/0825statistics/----2698860.dump.split189.26111-26117,7,151,95.2681388
af520505_all-stat/0825statistics/----2698860.dump.split55.17567-17571,5,110,95.23809524
af520505_all-stat/0825statistics/----2698860.dump.split57.17662-17666,5,110,95.23809524
af520505_all-stat/0825statistics/----2698860.dump.split211.27147-27149,3,70,95.23809524
af520505_all-stat/0825statistics/----2698860.dump.split223.27806-27811,6,129,95.20295203
af520505_all-stat/0825statistics/----2698860.dump.split222.27760-27764,5,106,95.06726457
af520505_all-stat/0825statistics/----2698860.dump.split95.20557-20570,14,279,95.05962521
af520505_all-stat/0825statistics/----2698860.dump.split85.20090-20098,9,182,95.03916449
af520505_all-stat/0825statistics/----2698860.dump.split143.23922-23931,10,201,95.03546099
af520505_all-stat/0825statistics/----2698860.dump.split126.22584-22590,7,142,94.98327759
af520505_all-stat/0825statistics/----2698860.dump.split216.27376-27381,6,122,94.94163424
af520505_all-stat/0825statistics/----2698860.dump.split212.27191-27197,7,140,94.91525424
af520505_all-stat/0825statistics/----2698860.dump.split177.25582-25587,6,118,94.77911647
af520505_all-stat/0825statistics/----2698860.dump.split199.26566-26570,5,96,94.58128079
af520505_all-stat/0825statistics/----2698860.dump.split205.26829-26833,5,96,94.58128079
af520505_all-stat/0825statistics/----2698860.dump.split65.18053-18055,3,61,94.57364341
af520505_all-stat/0825statistics/----2698860.dump.split113.21918-21923,6,113,94.56066946
af520505_all-stat/0825statistics/----2698860.dump.split124.22478-22481,4,74,94.26751592
af520505_all-stat/0825statistics/----2698860.dump.split160.24831-24833,3,57,94.21487603
af520505_all-stat/0825statistics/----2698860.dump.split186.25981-25983,3,57,94.21487603
af520505_all-stat/0825statistics/----2698860.dump.split190.26159-26166,8,137,94.1580756
af520505_all-stat/0825statistics/----2698860.dump.split116.22056-22058,3,56,94.11764706
af520505_all-stat/0825statistics/----2698860.dump.split84.20044-20048,5,86,93.98907104
af520505_all-stat/0825statistics/----2698860.dump.split164.25011-25013,3,52,93.69369369
af520505_all-stat/0825statistics/----2698860.dump.split174.25454-25455,2,37,93.67088608
af520505_all-stat/0825statistics/----2698860.dump.split178.25629-25637,9,140,93.64548495
af520505_all-stat/0825statistics/----2698860.dump.split210.27103-27105,3,51,93.57798165
af520505_all-stat/0825statistics/----2698860.dump.split155.24567-24571,5,80,93.56725146
af520505_all-stat/0825statistics/----2698860.dump.split88.20226-20232,7,106,93.39207048
af520505_all-stat/0825statistics/----2698860.dump.split77.18681-18721,41,582,93.34402566
af520505_all-stat/0825statistics/----2698860.dump.split168.25187-25190,4,62,93.23308271
af520505_all-stat/0825statistics/----2698860.dump.split191.26208-26210,3,48,93.2038835
af520505_all-stat/0825statistics/----2698860.dump.split217.27423-27425,3,47,93.06930693
af520505_all-stat/0825statistics/----2698860.dump.split52.17431-17432,2,33,92.95774648
af520505_all-stat/0825statistics/----2698860.dump.split193.26294-26300,7,93,92.53731343
af520505_all-stat/0825statistics/----2698860.dump.split91.20365-20368,4,55,92.43697479
af520505_all-stat/0825statistics/----2698860.dump.split171.25321-25323,3,42,92.30769231
af520505_all-stat/0825statistics/----2698860.dump.split203.26743-26744,2,30,92.30769231
af520505_all-stat/0825statistics/----2698860.dump.split213.27239-27243,5,64,92.08633094
af520505_all-stat/0825statistics/----2698860.dump.split196.26433-26434,2,29,92.06349206
af520505_all-stat/0825statistics/----2698860.dump.split119.22216-22217,2,28,91.80327869
af520505_all-stat/0825statistics/----2698860.dump.split188.26067-26069,3,39,91.76470588
af520505_all-stat/0825statistics/----2698860.dump.split147.24181-24185,5,60,91.60305344
af520505_all-stat/0825statistics/----2698860.dump.split181.25765-25767,3,38,91.56626506
af520505_all-stat/0825statistics/----2698860.dump.split162.24917-24924,8,92,91.54228856
af520505_all-stat/0825statistics/----2698860.dump.split220.27640-27643,4,46,91.08910891
af520505_all-stat/0825statistics/----2698860.dump.split89.20274-20281,8,85,90.90909091
af520505_all-stat/0825statistics/----2698860.dump.split102.21374-21375,2,24,90.56603774
af520505_all-stat/0825statistics/----2698860.dump.split111.21804-21805,2,24,90.56603774
af520505_all-stat/0825statistics/----2698860.dump.split226.27988-27995,8,76,89.9408284
af520505_all-stat/0825statistics/----2698860.dump.split97.20655-20668,14,126,89.6797153
af520505_all-stat/0825statistics/----2698860.dump.split127.22632-22634,3,30,89.55223881
af520505_all-stat/0825statistics/----2698860.dump.split125.22523-22542,20,174,89.46015424
af520505_all-stat/0825statistics/----2698860.dump.split70.18343-18344,2,21,89.36170213
af520505_all-stat/0825statistics/----2698860.dump.split156.24613-24660,48,399,89.16201117
af520505_all-stat/0825statistics/----2698860.dump.split96.20612-20613,2,20,88.88888889
af520505_all-stat/0825statistics/----2698860.dump.split136.23113-23114,2,20,88.88888889
af520505_all-stat/0825statistics/----2698860.dump.split197.26476-26479,4,35,88.60759494
af520505_all-stat/0825statistics/----2698860.dump.split194.26342-26344,3,27,88.52459016
af520505_all-stat/0825statistics/----2698860.dump.split110.21760-21762,3,26,88.13559322
af520505_all-stat/0825statistics/----2698860.dump.split87.20182-20184,3,23,86.79245283
af520505_all-stat/0825statistics/----2698860.dump.split93.20454-20473,20,131,86.46864686
af520505_all-stat/0825statistics/----2698860.dump.split142.23817-23880,64,387,85.71428571
af520505_all-stat/0825statistics/2699196.dump.split1.38791-38794,4,27,85.71428571
af520505_all-stat/0825statistics/----2698860.dump.split144.23973-24039,67,394,85.37378115
af520505_all-stat/0825statistics/----2698860.dump.split167.25143-25145,3,19,84.44444444
af520505_all-stat/0825statistics/----2698860.dump.split130.22850-22855,6,35,84.3373494
af520505_all-stat/0825statistics/----2698860.dump.split128.22676-22766,91,438,82.71954674
af520505_all-stat/0825statistics/----2698860.dump.split141.23501-23775,275,1171,80.95402696
af520505_all-stat/0825statistics/----2698860.dump.split0.1-486,486,1971,80.2034588
af520505_all-stat/0825statistics/----2698860.dump.split140.23292-23459,168,682,80.18812463
af520505_all-stat/0825statistics/----2698860.dump.split169.25232-25233,2,10,80
af520505_all-stat/0825statistics/----2698860.dump.split204.26786-26787,2,10,80
af520505_all-stat/0825statistics/----2698860.dump.split79.19428-19825,398,1545,79.49575508
af520505_all-stat/0825statistics/----2698860.dump.split78.18763-19386,624,2192,77.82709036
af520505_all-stat/0825statistics/----2698860.dump.split98.20710-21171,462,1615,77.73766546
af520505_all-stat/0825statistics/----2698860.dump.split206.26875-26877,3,10,74.07407407
af520505_all-stat/0825statistics/----2698860.dump.split35.11271-11389,119,303,71.71597633
af520505_all-stat/0825statistics/----2698860.dump.split42.13062-13173,112,271,70.66492829
af520505_all-stat/0825statistics/----2698860.dump.split38.11854-11979,126,303,70.54714785
af520505_all-stat/0825statistics/----2698860.dump.split28.9117-9469,353,829,70.10570825
af520505_all-stat/0825statistics/----2698860.dump.split43.13215-13572,358,835,69.96229577
af520505_all-stat/0825statistics/----2698860.dump.split9.3182-3309,128,294,69.58579882
af520505_all-stat/0825statistics/----2698860.dump.split32.10272-10635,364,831,69.51066499
af520505_all-stat/0825statistics/----2698860.dump.split39.12021-12390,370,837,69.31677019
af520505_all-stat/0825statistics/----2698860.dump.split44.13614-13743,130,291,69.03914591
af520505_all-stat/0825statistics/----2698860.dump.split29.9511-9643,133,294,68.77192982
af520505_all-stat/0825statistics/----2698860.dump.split30.9685-10061,377,828,68.68519287
af520505_all-stat/0825statistics/----2698860.dump.split15.5052-5180,129,284,68.68198307
af520505_all-stat/0825statistics/----2698860.dump.split33.10677-10797,121,266,68.64516129
af520505_all-stat/0825statistics/----2698860.dump.split37.11567-11812,246,537,68.53860881
af520505_all-stat/0825statistics/----2698860.dump.split31.10103-10230,128,279,68.46625767
af520505_all-stat/0825statistics/----2698860.dump.split8.2760-3140,381,822,68.30078936
af520505_all-stat/0825statistics/----2698860.dump.split26.8523-8894,372,796,68.12152332
af520505_all-stat/0825statistics/----2698860.dump.split45.13785-14168,384,816,67.97167847
af520505_all-stat/0825statistics/----2698860.dump.split24.7997-8331,335,709,67.87936812
af520505_all-stat/0825statistics/----2698860.dump.split25.8373-8481,109,227,67.45913819
af520505_all-stat/0825statistics/----2698860.dump.split12.3988-4379,392,812,67.41386467
af520505_all-stat/0825statistics/----2698860.dump.split46.14210-14784,575,1168,66.9916834
af520505_all-stat/0825statistics/----2698860.dump.split34.10839-11229,391,794,66.97595951
af520505_all-stat/0825statistics/----2698860.dump.split17.5674-5810,137,278,66.90734055
af520505_all-stat/0825statistics/----2698860.dump.split41.12619-13020,402,793,66.33207863
af520505_all-stat/0825statistics/----2698860.dump.split14.4600-5010,411,802,66.08982283
af520505_all-stat/0825statistics/----2698860.dump.split40.12432-12577,146,284,65.96980256
af520505_all-stat/0825statistics/----2698860.dump.split6.2107-2530,424,819,65.86248492
af520505_all-stat/0825statistics/----2698860.dump.split10.3351-3760,410,787,65.72025052
af520505_all-stat/0825statistics/----2698860.dump.split2.764-1172,409,769,65.25243954
af520505_all-stat/0825statistics/----2698860.dump.split27.8936-9075,140,261,65.00622665
af520505_all-stat/0825statistics/----2698860.dump.split5.1933-2065,133,247,64.91458607
